Number,Response Date,Response Text
1,"Apr 17, 2017 4:10 PM",I use the information to inform on where to go to find data driven solutions to  various issues that require my attention.
2,"Apr 17, 2017 4:08 PM",Taking examples of others that have flourished saves from reinventing the wheel. 
3,"Apr 17, 2017 1:21 PM",not applicable
4,"Apr 17, 2017 1:10 PM",CUrrently using it to explain to my direct supervisor and my fellow (lateral) employees on importance of training staff.
5,"Apr 17, 2017 2:40 AM",I have applied it as a student in my public health assessments and as a volunteer to advocate for needs within our community
6,"Apr 17, 2017 2:01 AM",not yet
7,"Apr 16, 2017 7:44 PM",Yes
8,"Apr 16, 2017 5:47 PM",Not yet
9,"Apr 16, 2017 12:30 PM",nil
10,"Apr 16, 2017 5:29 AM",In the completion of class assignments.
11,"Apr 15, 2017 11:40 PM",I am a retired software/hardware (firmware) manager
12,"Apr 15, 2017 6:44 PM",N/A
13,"Apr 15, 2017 2:47 PM",Right now - using in training others - with reference to the website
14,"Apr 15, 2017 1:11 AM","How esblishing a model for excellence can not only benefit one individually but raises standards among peers in the hopes of local reform ,the power of one and its influence,pushes the line beyond foundation of authoritative systems that corrupt  in nature must  crumble and disolve so the roots of philodendron which have always been few can once again can stand in honor of the Union Colony which have always lead by example"
15,"Apr 14, 2017 7:29 PM",I am printing the critical thinking information for future use
16,"Apr 14, 2017 3:46 PM","Transfiero estos conocimientos a psicólogos, trabajadores sociales u otras profesiones asociadas al trabajo comunitario."
17,"Apr 14, 2017 1:43 PM",have encountered a few cities that behaved in ways that normal communication seemingly wouldn't allow me to get even my most basic needs met. I was being forced to function dysfunctionally just like they were used to functioning. So the site helped ground me mentally. 
18,"Apr 14, 2017 4:34 AM",No
19,"Apr 14, 2017 2:12 AM",activity for students
20,"Apr 14, 2017 12:04 AM",not since i use it as a training tool
21,"Apr 13, 2017 11:24 PM",Have applied in helping board do strategic planning; have recommended this site to many over the years.
22,"Apr 13, 2017 10:44 PM",Que sean independientes y puedan salir adelantes con sus propios herramientas de trabajo
23,"Apr 13, 2017 9:43 PM",I will be utilizing the tools today.
24,"Apr 13, 2017 8:07 PM",To clarify steps in reaching consensus.
25,"Apr 13, 2017 7:29 PM",in rescuing and attempting to re-construct a non-profit organization
26,"Apr 13, 2017 5:48 PM",working on cultural diversity training
27,"Apr 13, 2017 5:41 PM",I'm using it now to boost participation in a program that isn't working - it's very helpful to give the Board information about why we have to go back a few steps and rethink how and when we're offering the program to members.
28,"Apr 13, 2017 4:29 PM",By taking a survey 
29,"Apr 13, 2017 3:59 PM",used it for teaching less for an actual community problem. 
30,"Apr 13, 2017 3:39 PM",I have used what I have learned to design a health promotion program that I will present to my public health student group for use in our campus community to encourage physical activity among college students to help achieve the goals of a healthy campus. 
31,"Apr 13, 2017 3:08 PM","Yes, I used it in practice and I use the site when I teach community courses "
32,"Apr 13, 2017 1:32 PM",Class assignments
33,"Apr 13, 2017 1:11 PM",improved content teaching
34,"Apr 13, 2017 10:26 AM",still to be done - first support group meeting in 3 weeks!
35,"Apr 13, 2017 5:29 AM",consulted it to check already knowledge 
36,"Apr 13, 2017 12:28 AM",I will be applying it design a health promotion campaign
37,"Apr 13, 2017 12:24 AM",Not yet.
38,"Apr 12, 2017 10:47 PM",research
39,"Apr 12, 2017 9:28 PM",Helps me educate others. 
40,"Apr 12, 2017 8:20 PM",used to guide the formation of a support group.
41,"Apr 12, 2017 7:00 PM",work togather to come up what a plan to solve the issue 
42,"Apr 12, 2017 6:57 PM",I reference it when guesting at university urban planning classes and also when working with ordinary folks who are uncertain how to proceed
43,"Apr 12, 2017 5:26 PM",I was working on a how to structure a needs assessment and the CTB gave me ideas about how I might do that and provided instruction for what that should look like. 
44,"Apr 12, 2017 4:42 PM","Currently, locally. As a disabled woman I am largely home, and getting a grip on how much I can do from here. "
45,"Apr 12, 2017 2:53 PM","I generally use the tools, the defintions, etc..."
46,"Apr 12, 2017 12:26 PM",Suggestions to Board of Trustees and Charity CE
47,"Apr 12, 2017 11:38 AM","i have not used yet , but i will use -how to conduct dialogues."
48,"Apr 12, 2017 11:24 AM",No opportunities yet.  I am a grad student.
49,"Apr 12, 2017 9:37 AM",To learn more about how to use this framework in my dissertation
50,"Apr 12, 2017 8:18 AM",in board situations 
51,"Apr 12, 2017 6:43 AM",I use some of the tools with my staff. 
52,"Apr 12, 2017 5:01 AM",advised others
53,"Apr 12, 2017 4:34 AM",We use specific tools in our community meetings
54,"Apr 12, 2017 12:22 AM",Just starting
55,"Apr 11, 2017 8:51 PM",I have referred to CTB multiple times as an intern at a social justice nonprofit 
56,"Apr 11, 2017 7:58 PM",not really yet
57,"Apr 11, 2017 7:32 PM",I just logged on and the survey monkey took me here
58,"Apr 11, 2017 7:03 PM",Yes.
59,"Apr 11, 2017 5:57 PM","Not yest, just started using"
60,"Apr 11, 2017 5:47 PM",Yes
61,"Apr 11, 2017 5:18 PM","I provide the resources to organizations that are looking to improve their administrative operations, need to conduct needs assessments, etc.  "
62,"Apr 11, 2017 4:00 PM",Reviewing documents from government counterparts and giving them appropriate feedback 
63,"Apr 11, 2017 3:14 PM",I plan to use it to help develop an existing coalition that needs some guidance.
64,"Apr 11, 2017 3:03 PM",Course work and office work
65,"Apr 11, 2017 11:58 AM",School project for community assessment
66,"Apr 11, 2017 10:32 AM","Not yet, I am just arriving here"
67,"Apr 11, 2017 7:57 AM",Using it whilst studying for my MSc Public Health and will continue to use it when working in public health. 
68,"Apr 11, 2017 5:32 AM",will be using it to run focus groups in  community
69,"Apr 11, 2017 2:58 AM",Have still to see what I can use.
70,"Apr 11, 2017 2:36 AM",in preparation for a workshop 
71,"Apr 10, 2017 10:33 PM",steps to go by
72,"Apr 10, 2017 8:49 PM",I am a consultant who focuses on community advocacy work so I use CTB as a reference. I also teach advanced social work macro practice and assign many of the CBT chapters for readings.
73,"Apr 10, 2017 7:42 PM",not yet
74,"Apr 10, 2017 7:00 PM",Using it to help inform the foundation of my work in the community and as a self education tool to be a leader and organizer in my own community.
75,"Apr 10, 2017 5:24 PM",I am always learning. I have integrated tips on facilitation to my own facilitation style.
76,"Apr 10, 2017 4:05 PM",Not yet but plan to in the next few months.
77,"Apr 10, 2017 3:52 PM",yes
78,"Apr 10, 2017 2:17 PM",The Award Ceremony & Debriefing
79,"Apr 10, 2017 12:46 PM",yes
80,"Apr 10, 2017 12:38 PM",not yet
81,"Apr 10, 2017 1:10 AM",teaching
82,"Apr 9, 2017 11:59 PM",I teach at a university and all my students are in small groups and are creating a Social Change project for the final.
83,"Apr 9, 2017 9:28 PM",Several
84,"Apr 9, 2017 7:05 PM",Not yet
85,"Apr 9, 2017 3:01 PM",by building a program from sctatch
86,"Apr 9, 2017 5:58 AM",Information dissemination and persuation in my community
87,"Apr 8, 2017 9:59 PM",Focus group about home ownership
88,"Apr 8, 2017 8:39 PM",I'm writing a book for jr-sr-high students to learn how to market their theatrical productions.
89,"Apr 8, 2017 5:34 PM","I will be using this material as we create a strategic plan, mission, and vision for Los Vecinos de Buford Highway."
90,"Apr 8, 2017 5:24 PM",i plan development plan
91,"Apr 8, 2017 5:17 PM",My organization is setting up a Network of Community Radio Stations. 
92,"Apr 8, 2017 2:51 PM","I do Chronic Conditions management and work with the community, I will definitely use this information in the future"
93,"Apr 8, 2017 2:02 PM",yes I am currently working on a community social innovation design project
94,"Apr 8, 2017 6:54 AM","yes, in my dept. as the head"
95,"Apr 8, 2017 12:47 AM",For a proposal to increase health literacy of refugees
96,"Apr 7, 2017 9:20 PM",Not yet
97,"Apr 7, 2017 7:42 PM",I haven't applied yet. I'm learning how to do it.
98,"Apr 7, 2017 6:55 PM","to improve my own/my organization's interaction with media; to improve active involvement of stakeholders.
...
to teach students"
99,"Apr 7, 2017 4:42 PM","1. letters to the editor
2. increase visibility about issues important to the community/state/country"
100,"Apr 7, 2017 4:20 PM","I use this for my PhD studies, dissertation, and work environment."
101,"Apr 7, 2017 8:25 AM",by adapting it to our needs
102,"Apr 6, 2017 9:59 PM",I'M CURRENTLY TRYING TO FOR MY COMMUNITY IN RENO
103,"Apr 6, 2017 9:56 PM",I'm not sure. It mainly just gave guidance for me when designing surveys and focus groups. 
104,"Apr 6, 2017 9:37 PM","Teach investigation
"
105,"Apr 6, 2017 9:24 PM",yes 
106,"Apr 6, 2017 6:57 PM",by using the guide lines of vmosa
107,"Apr 6, 2017 5:34 PM",Hoping to try out some techniques and tools soon!
108,"Apr 6, 2017 4:20 PM",Actually I plan to share information from the toolbox with my colleagues in the near future meetings
109,"Apr 6, 2017 4:16 PM",Yes
110,"Apr 6, 2017 1:31 PM",YES! 
111,"Apr 6, 2017 11:39 AM",no though I am interesting developing knowledge on how to evaluation 
112,"Apr 6, 2017 9:53 AM",From perspective of a trainer to adult learners
113,"Apr 6, 2017 3:26 AM",I have not used the information in the community 
114,"Apr 6, 2017 2:09 AM",Just remained mindful of the other person's values and culture before formulating a response to an action or statement.
115,"Apr 6, 2017 1:36 AM",n/a
116,"Apr 5, 2017 11:16 PM",Yes absolutely. I love it.
117,"Apr 5, 2017 8:20 PM",yes
118,"Apr 5, 2017 8:17 PM",Not yet.
119,"Apr 5, 2017 7:34 PM",To help develop infrastructure for an organization
120,"Apr 5, 2017 5:05 PM","I just started browsing your website, I would like a little more time before asked to participate in a survey."
121,"Apr 5, 2017 4:52 PM","I'm working on my own toolkit for the program I represent, and Community Tool Box has been both a great reference and a great model."
122,"Apr 5, 2017 1:44 PM",Use a lot of this to teach my classes
123,"Apr 5, 2017 1:26 PM",I have applied it to do my school work and also to work on an issue for my community to seek funding 
124,"Apr 5, 2017 1:05 PM",No
125,"Apr 5, 2017 1:02 PM",working on two separate collective impact projects 
126,"Apr 5, 2017 9:36 AM",N/a
127,"Apr 5, 2017 7:51 AM",I transferred gained knowledge to students.
128,"Apr 5, 2017 5:48 AM",effective communication
129,"Apr 5, 2017 4:50 AM","the toolbox issues are normal to me,because my experience's as priest was apart of my job/or ministry."
130,"Apr 5, 2017 2:23 AM",Yes -  homelessness survey
131,"Apr 5, 2017 2:22 AM",haven't started 
132,"Apr 4, 2017 9:37 PM",I am coordinating focus groups and this information is really helpful
133,"Apr 4, 2017 8:02 PM","So far, mostly as a resource for my social work grad. program papers and projects, as well as writing a grant proposal."
134,"Apr 4, 2017 7:48 PM",I think it gave me some tips 
135,"Apr 4, 2017 7:17 PM",I read the information and can apply the information to future endeavors to support the sharing of information with others. 
136,"Apr 4, 2017 7:10 PM",conducting and facilitating a meeting
137,"Apr 4, 2017 6:43 PM","Not yet; my students are in the process of developing small-scale, local projects, and they are drawing upon the strategies explained in the Table of Contents chapters, especially Ch. 30."
138,"Apr 4, 2017 6:15 PM",I have recommended this web site to a concerned citizen who is seeing anti-fluoridation actions in her community.
139,"Apr 4, 2017 5:55 PM",Help with refreshing my non-profit work and class project
140,"Apr 4, 2017 5:43 PM",Currently working on it.
141,"Apr 4, 2017 4:34 PM",My students have been able to use each example to the problemas in the community
142,"Apr 4, 2017 3:02 PM","I'm researching, getting in touch for the first time. It will be for a long term application."
143,"Apr 4, 2017 11:57 AM",Used for teaching purposes. 
144,"Apr 4, 2017 6:25 AM",topics for discussion in workshops
145,"Apr 4, 2017 6:04 AM",I used Community Tool Box as support for research on the necessity and importance of training for all levels in the workplace
146,"Apr 3, 2017 11:44 PM",Focus clearer on goals
147,"Apr 3, 2017 11:44 PM",mental health
148,"Apr 3, 2017 11:41 PM",Currently working on increasing vaccination rates in Minnesota
149,"Apr 3, 2017 11:13 PM",Planning to incorporate ideas and tools into current work with seven small rural towns in western massachusetts. The town Councils on Aging are very small with one parttime employee without the means to do outreach.
150,"Apr 3, 2017 9:41 PM",No
151,"Apr 3, 2017 7:35 PM",Training resources
152,"Apr 3, 2017 7:06 PM",Working to organize in my community when our state government created an unconstitutional group that attempted to close public schools at the local level.
153,"Apr 3, 2017 7:00 PM",Just found the site
154,"Apr 3, 2017 2:19 PM",I have used the information here in determining how to assess issues within communities and within organizations.
155,"Apr 3, 2017 12:09 PM",I am just getting started I will let you know later
156,"Apr 3, 2017 8:26 AM","yes, has helped to understand management betterj"
157,"Apr 3, 2017 6:57 AM",yes
158,"Apr 3, 2017 3:30 AM",yes
159,"Apr 3, 2017 12:31 AM",YES
160,"Apr 2, 2017 9:55 PM","Cross reverence 
Find local and same type of connection
Encouragement
Inspiration"
161,"Apr 2, 2017 8:05 PM","No, I use it as a reference and teaching tool."
162,"Apr 2, 2017 6:41 PM",I am applying concepts I have gotten from the toolbox and applied them to my joint project
163,"Apr 2, 2017 5:25 PM",use in social work education
164,"Apr 2, 2017 3:26 PM",By developing a leadership program for a county wide gardening group.
165,"Apr 2, 2017 8:36 AM","I have used instruction from this site to guide development of community assessment plans, development of strategic plans and guidance on areas not learned in school or through work experience."
166,"Apr 2, 2017 6:05 AM",in deliverable for fellowship
167,"Apr 2, 2017 12:32 AM",Organized a one training workshop.
168,"Apr 1, 2017 8:46 PM",just started using it so not sure yet
169,"Apr 1, 2017 8:13 PM",The trafic
170,"Apr 1, 2017 6:29 PM",Building peer support groups
171,"Apr 1, 2017 1:01 PM",Taught students to conduct windshield/walking surveys
172,"Apr 1, 2017 11:48 AM",advising non-profit executive director
173,"Apr 1, 2017 9:14 AM","Not yet, but will do. I am at the planning stage. "
174,"Apr 1, 2017 9:13 AM","I develop educacional materials for Nutrition workshops, it is important to apply best practices that has been usted with success.  "
175,"Apr 1, 2017 7:55 AM",not yet
176,"Mar 31, 2017 10:12 PM","I have used different theoretical frameworks (e.g., change theory) I've learned about through the toolbox to guide my consultation work with community partners."
177,"Mar 31, 2017 7:04 PM","Not yet, but by the end of this academic quarter, the 18 student class I am in will have used the information to help address an issue (yet to be decided upon)."
178,"Mar 31, 2017 6:19 PM",Changing some teaching habits
179,"Mar 31, 2017 1:30 PM",I used some of the guidance from the community needs assessments sections as part of the community health needs assessment process.
180,"Mar 31, 2017 1:14 PM",This is my first time using it
181,"Mar 31, 2017 12:19 PM",Increasing my understanding on how to strategize and plan health activities.
182,"Mar 31, 2017 3:57 AM",yes
183,"Mar 31, 2017 3:39 AM",Not yet
184,"Mar 31, 2017 3:35 AM",Learning how to do a community assessment
185,"Mar 30, 2017 8:47 PM","Hoping to establish a program, and recruit qualified volunteers with maintenance and repair skills, to preserve and maintain a small cottage, self-built by a regional author."
186,"Mar 30, 2017 7:57 PM",Not yet
187,"Mar 30, 2017 5:31 PM",First time user
188,"Mar 30, 2017 4:48 PM","Yes. In my courses for my masters' program, I have used many of the methods described for inclusivity and community organizing."
189,"Mar 30, 2017 2:58 PM","I have accesses information here dozens of time to address community specific issues. While I am comfortable with the many aspects of the framework, its not always a snap to communicate that knowledge to others given the many aspects of the framework. The templates and explanations allow me to maintain my level of knowledge without ever forgetting who my audience is when I'm coaching at the community level. "
190,"Mar 30, 2017 2:49 PM","For instance, I've used the VMOSA to help define the visions and goals for the organization"
191,"Mar 30, 2017 2:45 PM","I have used it to craft mission statements, create fundraising plans, etc"
192,"Mar 30, 2017 2:32 PM",As a guide
193,"Mar 30, 2017 1:26 PM",It has helped create a community assessment and action plan for a group project in my MSW program
194,"Mar 30, 2017 12:07 PM",It helps with concise definitions for practical terms
195,"Mar 30, 2017 9:54 AM",Yes but I would like to see more examples related to child abuse prevention
196,"Mar 30, 2017 5:22 AM",policy implementation
197,"Mar 30, 2017 4:58 AM",Writing a program proposal
198,"Mar 30, 2017 3:12 AM",not yet
199,"Mar 29, 2017 9:27 PM",I have applied your toolkit guidelines to the design and implementation of community intervention programmes; and to prepare programs proposals to funding.
200,"Mar 29, 2017 9:01 PM",it has helped me express my ideas intelligently to others
201,"Mar 29, 2017 7:44 PM","After reading about current projects that you are discussing, we have been able to adapt the information to work with or implement applicable on-site processes when working with local governments, law enforcement and individual rental communities.  "
202,"Mar 29, 2017 7:35 PM",I used the information when I was working with school who obtained grants from our state department. Many of the grantees had a little or no experience in administering a grant and making environmental changes within their community. I was a Public Health Consultant at that time.  
203,"Mar 29, 2017 6:52 PM",I use it to teach others how to carry out community health assessment and public health improvement plans. 
204,"Mar 29, 2017 6:19 PM",I will apply it. I am currently finishing up my Human Services degree at the University of Phoenix.
205,"Mar 29, 2017 6:10 PM",found interesting staff about strategic planning 
206,"Mar 29, 2017 6:07 PM","Yes, most definitely.
I used to work as a Development Manager at a Child-oriented NPO in Zimbabwe. When I joined the organization, it was poorly structured and little systems and documentation to speak of.

After i found CTB, I used the wealth of information that I found here to develop the organization.

I have since left that organization, but because of the noticeable work that I did at that organization, other nonprofits have asked me to consult for them and help them develop structures and systems.

As we speak, I have been asked to help develop a permaculture-focued community development  organization in the UK. And I have never been to Europe!"
207,"Mar 29, 2017 4:59 PM",Not yet.
208,"Mar 29, 2017 4:18 PM",Too early
209,"Mar 29, 2017 4:00 PM",compromising and problem solving
210,"Mar 29, 2017 3:05 PM","Community Assessment/windshield assessment
Informant interview models
Focus group information"
211,"Mar 29, 2017 2:54 PM",Yes
212,"Mar 29, 2017 2:42 PM","Not yet, planning to."
213,"Mar 29, 2017 2:23 PM","Created trainings citing the CTB to organize school communities so that they could convene local school health advisory councils...some topics we have covered are  effective meeting, bylaws, strategic planning, etc. "
214,"Mar 29, 2017 1:55 PM",Workshop for non-profits underscoring the need to measure one's success 
215,"Mar 29, 2017 12:42 PM",I've taken bits and pieces and used it for trainings I've developed in refugee resettlement and work related to violence against women 
216,"Mar 29, 2017 12:38 PM",using resources in my graduate studies work
217,"Mar 29, 2017 12:02 PM",Aún no me decido a hacerlo.
218,"Mar 29, 2017 11:37 AM","I am a health promotion Officer and as such, i used a lot of the community mobilization tools to reach out to the community members."
219,"Mar 29, 2017 9:26 AM",Yes
220,"Mar 29, 2017 3:24 AM","I have trained my board and community coalition with CTB as well as Chapter 13 building leadership with my community, and smaller focus groups. It gives me structure."
221,"Mar 29, 2017 2:08 AM","Although I learned several of these lessons the hard way, I find it really valuable that the toolbox provides guidance on how to do stakeholder assessments. "
222,"Mar 29, 2017 1:49 AM",The relationship between a congregation and its community
223,"Mar 29, 2017 1:48 AM",Not using. Low dependability / accessibility
224,"Mar 28, 2017 10:20 PM",When I find a technique or process I either share with a community partner or apply to an issue that I am working on typically with local customization
225,"Mar 28, 2017 10:05 PM",Have used in proposals and shared with programs in the agency where I work.
226,"Mar 28, 2017 9:44 PM","Quality improvement in healthcare settings (nursing homes, specifically)"
227,"Mar 28, 2017 9:28 PM",Service learning and civic engagement at our college
228,"Mar 28, 2017 9:24 PM",I'm trying to have students apply the Tool Box to issues that they care about to practice creating a multi-issue coalition.
229,"Mar 28, 2017 9:17 PM",Use them in part of learning activities/assignments in the community practice course I'm teaching. 
230,"Mar 28, 2017 9:01 PM",used it as research in the form of a free health care clinic involving students and community 
231,"Mar 28, 2017 8:14 PM",Taken ideas into my community context. Shared with work colleagues to work through an issue. 
232,"Mar 28, 2017 7:54 PM","yes with High risk youth, and the communities most vunrable. I find its a soild format for.empowering and bringing light in dark situations. To help display the a sound roadmap for progressive hope "
233,"Mar 28, 2017 7:41 PM",Train the trainer
234,"Mar 28, 2017 7:07 PM",-
235,"Mar 28, 2017 7:05 PM",I have created a plan to help people get a vision in life and properly pursue it by setting goals.
236,"Mar 28, 2017 6:39 PM",NA
237,"Mar 28, 2017 6:17 PM",Not yet.
238,"Mar 28, 2017 5:49 PM",Oh my - over the years I have used everything from the sections on research to SWOT to Community Building.  One year I even used your community awards contest as a classroom activity for a college-level community action research class.
239,"Mar 28, 2017 5:45 PM",Used information on organizational strategic planning.
240,"Mar 28, 2017 5:31 PM",were still waiting for support from tool box so that our community can have un activity to reduce crime
241,"Mar 28, 2017 5:05 PM",yes
242,"Mar 28, 2017 5:03 PM",by getting some direction via information available
243,"Mar 28, 2017 5:02 PM",Have used evaluation checklists for community work with health providers.
244,"Mar 28, 2017 4:59 PM","I am managing an Age-Friendly Community Initiative in Sonoma County, CA. While the Community Tool Box is short on ""seniors"" project examples, the material is easily adapted to any community organizing project. Previously, I used the Community Toolbox when working on a United Way Community Impact initiative."
245,"Mar 28, 2017 4:58 PM",I haven't yet
246,"Mar 28, 2017 4:42 PM","I work with substance prevention coalitions and they are working on underage drinking, prescription drugs, college aged binge drinking, and youth marijuana use. "
247,"Mar 28, 2017 4:39 PM",N/a
248,"Mar 28, 2017 4:38 PM",none yet
249,"Mar 28, 2017 4:31 PM",making suggestions during dialogue sessions 
250,"Mar 28, 2017 4:30 PM",Organizing community